tekst sign,Aantal voorkomens bij A1,rvvCode
560,1,
2699,1,
5007,1,
16837,1,
6 - 19,2,
6-19,1,
19-6,2,
!LET OP! Voetgangers,1,
(BROM) FIETSERS OP RIJBAAN,2,
(brom)fietsers geef ze de ruimte,1,
dit zijn borden met een pictogram,21,
6 - 19 h,1,
6-19h,"6-19h""",
geen openbare parkeerplaats,1,
herhaling,1,
onleesbaar,1,
onleesbaar;alleen in de vakken,1,
wegsleepregeling van kracht,1,
06-19 h,"06-19 h""",1,
06-19h,1,
1 km;bij nat wegdek,1,
1,5 km,1,
100 m,5,
1000 m;bij nat wegdek,2,
1000m;bij nat wegdek,2,
1000m;bij nat wegdek;bij nat wegdek 1000m,1,
100m;bij nat wegdek,2,
1200 m,"1200m""",
150 m,4,
150m,1,
19-6h,39,
"19-6h;19-6h",2,
"19-6h;19-6h",1,
"19-6h;6-19h",8,
"19-6h;6-19h;19-6h",1,
"19-6h;19-6h",1,
"19-6h;19-6h",1,
19-6h,1,
19-16h,2,
"19-16h;6-19h",1,,
"19-6h;344",1,,
"19-6h;19-6h",3,,
"19-6h;19-16h",1,,
"19-6h;19-6h",34,,
"19-6h;19-6h;19-6h",1,,
"19-6h;19-6h;6-19h",1,,
"19-6h;19-6h",7,,
"19-6h;6-19h",1,,
"19-6h;6-19h",38,;
19 - 6 h,39,
""19 - 6 h;19-6 h"",2,
""19 - 6 h;19-6h"",1,
""19 - 6 h;6 - 19 h"",8,
""19 - 6 h;6 - 19 h;19-6 h"",1,
""19 - 6h;19-6 h"",1,
""19 - 6h;19-6h"",1,
19 -6 h,1,
19-16h,2,
19-16h;6-19h";1;;
19-6 h;344;;
19-6 h;19 - 6 h";3;;
19-6 h;19-16h";1;;
19-6 h;19-6 h";34;;
19-6 h;19-6 h;19-6h";1;;
19-6 h;19-6 h;6-19h";1;;
19-6 h;19-6h";7;;
19-6 h;6 - 19 h";1;;
19-6 h;6-19 h";38;;
19-6 h;6-19 h;6-19 h;19-6 h";2;;
19-6 h;onleesbaar";1;;
196-6 h;1;;
19-6h;149;;
19-6h;19 - 6 h";1;;
19-6h;19-6 h";7;;
19-6h;19-6 h;19-6 h";1;;
19-6h;19-6h";29;;
19-6h;19-6h;6-19h;6-19h";1;;
19-6h;6-19 h";5;;
19-6h;6-19h";15;;
19-6h;6-19h;19-6h;6-19h";14;;
19-6h;6-19h;6-19h;19-6h";2;;
1km;bij nat wegdek";2;;
2 x;2;;
200 m;14;;
200 m;200 m";1;;
2000 m;bij nat wegdek";1;;
2000m;Spoorvorming";1;;
200m;2;;
200m;2000m;bij nat wegdek";2;;
250 m;bij nat wegdek";6;;
250m;Spoorvorming";1;;
2X drempels;1;;
2x in-/uitrit bouwverkeer;1;;
3 km;1;;
3 x;1;;
300 m;6;;
3000m;Spoorvorming";1;;
3600 m;bij nat wegdek";2;;
40 m;1;;
4000m;Spoorvorming";1;;
50 m;2;;
5000m;Spoorvorming";2;;
6 - 19 h;241;;
6 - 19 h;19 - 6 h";5;;
6 - 19 h;19 -6 h";1;;
6 - 19 h;6 - 19 h";1;;
6 - 19 h;6-19 h";3;;
6 - 19 h;6-19h";1;;
6 - 19 h;6-19h;6-19 h";2;;
6 - 19 h;6-9 h";1;;
