textSigns	count	percent	histogram
uitrit werkverkeer	79	0.00	
;gebruik door fietsers toegestaan	78	0.00	
uitgezonderd bewoners	78	0.00	
ALGEMEEN	77	0.00	
ritsen na 300 m	77	0.00	
afsluitbomen dalen automatisch	77	0.00	
DUS NIET BROMMEN	77	0.00	
19-6 h;6-19 h	76	0.00	
in de vakken	76	0.00	
ma t/m vr 8.00-16.00 h	76	0.00	
;;	75	0.00	
100 m;uitgezonderd	74	0.00	
6-19 h;6-19 h	74	0.00	
uitgezonderd werkverkeer	74	0.00	
uitgezonderd ontheffinghouders	74	0.00	
Wildrooster	73	0.00	
Plateau	73	0.00	
rechts voorrang	73	0.00	
uitgezonderd parkeervakken	72	0.00	
UITGEZONDERD FIETSERS	72	0.00	
zachte berm	72	0.00	
;opladen elektrische auto	71	0.00	
Let op! School	71	0.00	
STOP 100 m	71	0.00	
uitgezonderd bouwverkeer	71	0.00	
snorfietsen op rijbaan	71	0.00	
laden en lossen toegestaan	69	0.00	
bij vorst	69	0.00	
25 m	69	0.00	
situatie gewijzigd	68	0.00	
;wegsleepregeling van kracht	68	0.00	
ma t/m vr 06 - 10 h 15 - 19 h	68	0.00	
ma t/m vr 06 - 19 h	68	0.00	
;uitsluitend elektrische auto's	68	0.00	
uitsluitend bezoekers	67	0.00	
;10.00-22.00 h;Opladen elektrische voertuigen	67	0.00	
uitgezonderd vrachtverkeer met aantoonbare bestemming	67	0.00	
Fietsen toegestaan	67	0.00	
Uitsluitend bezoekers	67	0.00	
ma t/m za 09.00-18.00 h	66	0.00	
Veerooster	66	0.00	
;alleen om elektrische voertuigen op te laden	66	0.00	
;uitsluitend voor opladen elektrische voertuigen	66	0.00	
350 m	65	0.00	
glad bij vorst	65	0.00	
wegsleepregeling van kracht;autodate greenwheels	65	0.00	
ONLEESBAAR	65	0.00	
LET OP! SPELENDE KINDEREN	64	0.00	
plateau	63	0.00	
SLECHT WEGDEK	63	0.00	
na 300 m	63	0.00	
Parkeren uitsluitend in de vakken	63	0.00	
60 m	63	0.00	
AUTOMATISCHE SLAGBOMEN	63	0.00	
3 km	63	0.00	
;opladen elektrische voertuigen;	62	0.00	
opladen elektrische motorvoertuigen	62	0.00	
Bij file lijnbus op vluchtstrook	62	0.00	
4x	61	0.00	
6-19 h;19-6 h	61	0.00	
matig uw snelheid	61	0.00	
800 m	59	0.00	
na 30 m	59	0.00	
Dus niet brommen	59	0.00	
ma t/m za 9.00-18.00 h	58	0.00	
700 m	58	0.00	
na 50 m;uitgezonderd	58	0.00	
HERHALING	58	0.00	
