rvvCode; blackCode; zoneCode; textSigns;;;naam;blackCode;Zonebord;Soort onderbord;atrtribuutnaam 1;Waarde 1;atrtribuutnaam 2;Waarde 2;atrtribuutnaam 3;Waarde 3;atrtribuutnaam 4;Waarde 4;atrtribuutnaam 5;Waarde 5;atrtribuutnaam 6;Waarde 6;atrtribuutnaam 7;Waarde 7
B6;;;2 X;;;B6;;;vrije tekst;omschrijving;2 X;;;;;;;;;;;;
B6;;;2 x;;;B6;;;vrije tekst;omschrijving;2 x;;;;;;;;;;;;
B6;;;20 m;;;B6;;;Werkingslengte;Werkingslengte;20;;;;;;;;;;;;
B6;;;"20 m;";;;B6;;;Werkingslengte;Werkingslengte;20;;;;;;;;;;;;
B2;;;200 m;;;B2;;;Werkingslengte;Werkingslengte;200;;;;;;;;;;;;
B3;;;200 m;;;B3;;;Werkingslengte;Werkingslengte;200;;;;;;;;;;;;
B5;;;200 m;;;B5;;;Werkingslengte;Werkingslengte;200;;;;;;;;;;;;
B6;;;200 M;;;B6;;;Werkingslengte;Werkingslengte;200;;;;;;;;;;;;
B6;;;200 m;;;B6;;;Werkingslengte;Werkingslengte;200;;;;;;;;;;;;
B6;;;200 m.;;;B6;;;Werkingslengte;Werkingslengte;200;;;;;;;;;;;;
B1;;;"200 m;";;;B1;;;Werkingslengte;Werkingslengte;200;;;;;;;;;;;;
B6;;;"200 m;200 m";;;B6;;;Vrije tekst;Omschrijving;"200 m;200 m";;;;;;;;;;;;
B6;;;"200 m;drempel";;;B6;;;Werkingslengte;Werkingslengte;200;;;;;;;;;;;;
B6;;;"200 m;PARKEREN M.R.C.";;;B6;;;Werkingslengte;Werkingslengte;200;;;;;;;;;;;;
B6;;;"200 m;PAS OP ! SPELENDE KINDEREN";;;B6;;;Werkingslengte;Werkingslengte;200;;;;;;;;;;;;
B6;;;"200 m;STOP";;;B6;;;vrije tekst;omschrijving;STOP;;;;;;;;;;;;
B6;;;"200 m;STOP";;;B6;;;Werkingslengte;Werkingslengte;200;;;;;;;;;;;;
B6;;;200 mtr.;;;B6;;;Werkingslengte;Werkingslengte;200;;;;;;;;;;;;
B2;;;200m;;;B2;;;Werkingslengte;Werkingslengte;200;;;;;;;;;;;;
B6;;;200m;;;B6;;;Werkingslengte;Werkingslengte;200;;;;;;;;;;;;
B1;;;2019 MKB-vriendelijkste gemeente Gelderland;;;B1;;;vrije tekst;omschrijving;2019 MKB-vriendelijkste gemeente Gelderland;;;;;;;;;;;;
B6;;;20m;;;B6;;;Werkingslengte;Werkingslengte;20;;;;;;;;;;;;
B1;;;25 m;;;B1;;;Werkingslengte;Werkingslengte;25;;;;;;;;;;;;
B2;;;25 m;;;B2;;;Werkingslengte;Werkingslengte;25;;;;;;;;;;;;
B5;;;25 m;;;B5;;;Werkingslengte;Werkingslengte;25;;;;;;;;;;;;
B6;;;25 m;;;B6;;;Werkingslengte;Werkingslengte;25;;;;;;;;;;;;
B6;;;"25 m;let op! voorrangssituatie fietsers gewijzigd";;;B6;;;Werkingslengte;Werkingslengte;25;;;;;;;;;;;;
B6;;;"25 m;let op! voorrangssituatie fietsers gewijzigd";;;B6;;;vrije tekst;omschrijving;let op! voorrangssituatie fietsers gewijzigd;;;;;;;;;;;;
B2;;;250 m;;;B2;;;Werkingslengte;Werkingslengte;250;;;;;;;;;;;;
B2;;;250 M;;;B2;;;Werkingslengte;Werkingslengte;250;;;;;;;;;;;;
B6;;;250 m;;;B6;;;Werkingslengte;Werkingslengte;250;;;;;;;;;;;;
B6;;;"250 m;250 m";;;B6;;;vrije tekst;omschrijving;"250 m;250 m";;;;;;;;;;;;
B2;;;250m;;;B2;;;Werkingslengte;Werkingslengte;250;;;;;;;;;;;;
B6;;;250m;;;B6;;;Werkingslengte;Werkingslengte;250;;;;;;;;;;;;
B6;;;"25m;onleesbaar";;;B6;;;Werkingslengte;Werkingslengte;25;;;;;;;;;;;;
B6;;;"26-28-30-32;";;;B6;;;vrije tekst;omschrijving;"26-28-30-32;";;;;;;;;;;;;
B1;;;2x;;;B1;;;vrije tekst;omschrijving;2x;;;;;;;;;;;;
B1;;;2X;;;B1;;;vrije tekst;omschrijving;2X;;;;;;;;;;;;
B3;;;2x;;;B3;;;vrije tekst;omschrijving;2x;;;;;;;;;;;;
B3;;;2X;;;B3;;;vrije tekst;omschrijving;2X;;;;;;;;;;;;
B4;;;2X;;;B4;;;vrije tekst;omschrijving;2X;;;;;;;;;;;;
B4;;;2x;;;B4;;;vrije tekst;omschrijving;2x;;;;;;;;;;;;
B5;;;2x;;;B5;;;vrije tekst;omschrijving;2x;;;;;;;;;;;;
B5;;;2X;;;B5;;;vrije tekst;omschrijving;2X;;;;;;;;;;;;
B6;;;2x;;;B6;;;vrije tekst;omschrijving;2x;;;;;;;;;;;;
B6;;;2X;;;B6;;;vrije tekst;omschrijving;2X;;;;;;;;;;;;
B7;;;2x;;;B7;;;vrije tekst;omschrijving;2x;;;;;;;;;;;;
B5;;;2x uitrit Marin;;;B5;;;vrije tekst;omschrijving;2x uitrit Marin;;;;;;;;;;;;
B6;;;"2x;U nadert het knooppunt";;;B6;;;vrije tekst;omschrijving;"2x;U nadert het knooppunt";;;;;;;;;;;;
B5;;;2x50m;;;B5;;;vrije tekst;omschrijving;2x50m;;;;;;;;;;;;
B1;;;3 x;;;B1;;;vrije tekst;omschrijving;3 x;;;;;;;;;;;;
B3;;;3 x;;;B3;;;vrije tekst;omschrijving;3 x;;;;;;;;;;;;
B4;;;3 x;;;B4;;;vrije tekst;omschrijving;3 x;;;;;;;;;;;;
B5;;;3 x;;;B5;;;vrije tekst;omschrijving;3 x;;;;;;;;;;;;
B6;;;3 x;;;B6;;;vrije tekst;omschrijving;3 x;;;;;;;;;;;;
B2;;;30 m;;;B2;;;Werkingslengte;;30 m;;;;;;;;;;;;
B6;;;30 m;;;B6;;;Werkingslengte;;30 m;;;;;;;;;;;;
B7;;;30 m;;;B7;;;Werkingslengte;;30 m;;;;;;;;;;;;
B5;;;"30 m;;2 x";;;B5;;;vrije tekst;omschrijving;"30 m;;2 x";;;;;;;;;;;;
B6;;;300 bam;;;B6;;;;;300 bam;;;;;;;;;;;;
B2;;;300 m;;;B2;;;;;300 m;;;;;;;;;;;;
B6;;;300 m;;;B6;;;;;300 m;;;;;;;;;;;;
B1;;;"300 m;";;;B1;;;;;"300 m;";;;;;;;;;;;;
B6;;;"300 m;300 m";;;B6;;;;;"300 m;300 m";;;;;;;;;;;;
B2;;;300m;;;B2;;;;;300m;;;;;;;;;;;;
B6;;;300m;;;B6;;;;;300m;;;;;;;;;;;;
B6;;;30m;;;B6;;;;;30m;;;;;;;;;;;;
B6;;;35 m;;;B6;;;;;35 m;;;;;;;;;;;;
B6;;;350 m;;;B6;;;;;350 m;;;;;;;;;;;;
B1;;;3x;;;B1;;;;;3x;;;;;;;;;;;;
B3;;;3x;;;B3;;;;;3x;;;;;;;;;;;;
B4;;;3X;;;B4;;;;;3X;;;;;;;;;;;;
B4;;;3x;;;B4;;;;;3x;;;;;;;;;;;;
B5;;;3X;;;B5;;;;;3X;;;;;;;;;;;;
B5;;;3x;;;B5;;;;;3x;;;;;;;;;;;;
B6;;;3X;;;B6;;;;;3X;;;;;;;;;;;;
B6;;;3x;;;B6;;;;;3x;;;;;;;;;;;;
B5;;;40 m;;;B5;;;;;40 m;;;;;;;;;;;;
B6;;;40 m;;;B6;;;;;40 m;;;;;;;;;;;;
B2;;;400 m;;;B2;;;;;400 m;;;;;;;;;;;;
B6;;;400 m;;;B6;;;;;400 m;;;;;;;;;;;;
B6;;;40m;;;B6;;;;;40m;;;;;;;;;;;;
B7;;;40m;;;B7;;;;;40m;;;;;;;;;;;;
B2;;;45 m;;;B2;;;;;45 m;;;;;;;;;;;;
B4;;;480 m;;;B4;;;;;480 m;;;;;;;;;;;;
B5;;;4X;;;B5;;;;;4X;;;;;;;;;;;;
B1;;;4x uitrit;;;B1;;;;;4x uitrit;;;;;;;;;;;;
B1;;;50 m;;;B1;;;;;50 m;;;;;;;;;;;;
B2;;;50 m;;;B2;;;;;50 m;;;;;;;;;;;;
B3;;;50 m;;;B3;;;;;50 m;;;;;;;;;;;;
B4;;;50 m;;;B4;;;;;50 m;;;;;;;;;;;;
B6;;;50 m;;;B6;;;;;50 m;;;;;;;;;;;;
B6;;;50 M;;;B6;;;;;50 M;;;;;;;;;;;;
B7;;;50 m;;;B7;;;;;50 m;;;;;;;;;;;;
B6;;;50 m.;;;B6;;;;;50 m.;;;;;;;;;;;;
B6;;;"50 m;50 m";;;B6;;;;;"50 m;50 m";;;;;;;;;;;;
B6;;;"50 m;drempels";;;B6;;;;;"50 m;drempels";;;;;;;;;;;;
B2;;;"50 m;Let op! einde voorrangsweg";;;B2;;;;;"50 m;Let op! einde voorrangsweg";;;;;;;;;;;;
B2;;;"50 m;wegsleepregeling van kracht";;;B2;;;;;"50 m;wegsleepregeling van kracht";;;;;;;;;;;;
B6;;;50 meter;;;B6;;;;;50 meter;;;;;;;;;;;;
B6;;;50 mtr;;;B6;;;;;50 mtr;;;;;;;;;;;;
B1;;;500 m;;;B1;;;;;500 m;;;;;;;;;;;;
B2;;;500 m;;;B2;;;;;500 m;;;;;;;;;;;;
B6;;;500 m;;;B6;;;;;500 m;;;;;;;;;;;;
B2;;;500m;;;B2;;;;;500m;;;;;;;;;;;;
B6;;;500m;;;B6;;;;;500m;;;;;;;;;;;;
B2;;;50m;;;B2;;;;;50m;;;;;;;;;;;;
B4;;;50m;;;B4;;;;;50m;;;;;;;;;;;;
B5;;;50m;;;B5;;;;;50m;;;;;;;;;;;;
B6;;;50m;;;B6;;;;;50m;;;;;;;;;;;;
B7;;;50m;;;B7;;;;;50m;;;;;;;;;;;;
B6;;;"50m;50 m";;;B6;;;;;"50m;50 m";;;;;;;;;;;;
B2;;;60 M;;;B2;;;;;60 M;;;;;;;;;;;;
B2;;;60 m;;;B2;;;;;60 m;;;;;;;;;;;;
B6;;;60 m;;;B6;;;;;60 m;;;;;;;;;;;;
B7;;;60 m;;;B7;;;;;60 m;;;;;;;;;;;;
B6;;;60m;;;B6;;;;;60m;;;;;;;;;;;;
B2;;;70 m;;;B2;;;;;70 m;;;;;;;;;;;;
B6;;;70 m;;;B6;;;;;70 m;;;;;;;;;;;;
B6;;;70m;;;B6;;;;;70m;;;;;;;;;;;;
B2;;;75 m;;;B2;;;;;75 m;;;;;;;;;;;;
B3;;;75 m;;;B3;;;;;75 m;;;;;;;;;;;;
B5;;;75 m;;;B5;;;;;75 m;;;;;;;;;;;;
B6;;;75 m;;;B6;;;;;75 m;;;;;;;;;;;;
B7;;;75 m;;;B7;;;;;75 m;;;;;;;;;;;;
B6;;;"75 m;Brug open";" motor uit !;onleesbaar";;B6;;;;;"75 m;Brug open";;;;;;;;;;;;
B6;;;"75 m;veilige snelheid 30km";;;B6;;;;;"75 m;veilige snelheid 30km";;;;;;;;;;;;
B6;;;75 METER;;;B6;;;;;75 METER;;;;;;;;;;;;
B2;;;75M;;;B2;;;;;75M;;;;;;;;;;;;
B6;;;75m;;;B6;;;;;75m;;;;;;;;;;;;
B2;;;80 m;;;B2;;;;;80 m;;;;;;;;;;;;
B3;;;80 m;;;B3;;;;;80 m;;;;;;;;;;;;
B6;;;80 m;;;B6;;;;;80 m;;;;;;;;;;;;
B6;;;80m;;;B6;;;;;80m;;;;;;;;;;;;
B7;;;80m;;;B7;;;;;80m;;;;;;;;;;;;
B6;;;90 m;;;B6;;;;;90 m;;;;;;;;;;;;
B6;;;"90 m;";;;B6;;;;;"90 m;";;;;;;;;;;;;
B6;;;900 m;;;B6;;;;;900 m;;;;;;;;;;;;
B6;;;90m;;;B6;;;;;90m;;;;;;;;;;;;
B6;;;A15;;;B6;;;vrije tekst;omschrijving;A15;;;;;;;;;;;;
B3;;;A2;;;B3;;;vrije tekst;omschrijving;A2;;;;;;;;;;;;
B6;;;A2;;;B6;;;vrije tekst;omschrijving;A2;;;;;;;;;;;;
B3;;;AFC;;;B3;;;;;AFC;;;;;;;;;;;;
B5;;;afgifte goederen Gemeentehuis;;;B5;;;;;afgifte goederen Gemeentehuis;;;;;;;;;;;;
B6;;;Afleveren Goederen;;;B6;;;;;Afleveren Goederen;;;;;;;;;;;;
B4;;;afslaand verkeer;;;B4;;;;;afslaand verkeer;;;;;;;;;;;;
B5;;;afslaand verkeer;;;B5;;;;;afslaand verkeer;;;;;;;;;;;;
B3;;;"afsluitbomen dalen automatisch;gemarkeerde weggedeelten vrijhouden";;;B3;;;;;"afsluitbomen dalen automatisch;gemarkeerde weggedeelten vrijhouden";;;;;;;;;;;;
B6;;;afsluitbomen sluiten automatisch;;;B6;;;;;afsluitbomen sluiten automatisch;;;;;;;;;;;;
B1;;;Afsulitbomen dalen automatisch;;;B1;;;;;Afsulitbomen dalen automatisch;;;;;;;;;;;;
B6;;;alg;;;B6;;;;;alg;;;;;;;;;;;;
B6;;;alleen fietspad;;;B6;;;;;alleen fietspad;;;;;;;;;;;;
B6;;;Alleen voor autodate;;;B6;;;;;Alleen voor autodate;;;;;;;;;;;;
B6;;;Alleen voor hoofdrijbaan;;;B6;;;;;Alleen voor hoofdrijbaan;;;;;;;;;;;;
B6;;;Ambulance ingang De Riethorst;;;B6;;;;;Ambulance ingang De Riethorst;;;;;;;;;;;;
B4;;;ARBORETUM MOMENTENBOS;;;B4;;;;;ARBORETUM MOMENTENBOS;;;;;;;;;;;;
B5;;;ARBORETUM MOMENTENBOS;;;B5;;;;;ARBORETUM MOMENTENBOS;;;;;;;;;;;;
B5;;;Autoafzetsteiger;;;B5;;;;;Autoafzetsteiger;;;;;;;;;;;;
B3;;;AV ZUIDWAL;;;B3;;;;;AV ZUIDWAL;;;;;;;;;;;;
B7;;;"Basic Pharma Burg. Lemmensstraat Entree;Let op(brom)fietsen";;;B7;;;;;"Basic Pharma Burg. Lemmensstraat Entree;Let op(brom)fietsen";;;;;;;;;;;;
B6;;;Bedankt voor uw bezoek en graag tot ziens!onleesbaar;;;B6;;;;;Bedankt voor uw bezoek en graag tot ziens!onleesbaar;;;;;;;;;;;;
B3;;;Bedrijventerrein van Ghertstraat;;;B3;;;;;Bedrijventerrein van Ghertstraat;;;;;;;;;;;;
B5;;;Beijumerweg woonboten 1086 t/m 1092;;;B5;;;vrije tekst;omschrijving;Beijumerweg woonboten 1086 t/m 1092;;;;;;;;;;;;
B1;;;Bermen;;;B1;;;;;Bermen;;;;;;;;;;;;
B7;;;BETREDEN OP EIGEN RISICO;;;B7;;;;;BETREDEN OP EIGEN RISICO;;;;;;;;;;;;
B6;;;bevoorradingsverkeer -Calvijn College -VV Tholense Boys -De Kraal -KMV Concordia;;;B6;;;;;bevoorradingsverkeer -Calvijn College -VV Tholense Boys -De Kraal -KMV Concordia;;;;;;;;;;;;
B6;;;bewoners 6;7;;B6;;;;;bewoners 6;;;;;;;;;;;;
B4;;;Bewoners en bezoekers Broekgraaf;;;B4;;;;;Bewoners en bezoekers Broekgraaf;;;;;;;;;;;;
B5;;;Bewoners en bezoekers Broekgraaf;;;B5;;;;;Bewoners en bezoekers Broekgraaf;;;;;;;;;;;;
B3;;;Bezoekers Kersenkooi rechts dan links;;;B3;;;;;Bezoekers Kersenkooi rechts dan links;;;;;;;;;;;;
B1;;;Bezoekers Leveranciers Brandweer;;;B1;;;;;Bezoekers Leveranciers Brandweer;;;;;;;;;;;;
B5;;;bij belsignaal brug vrijmaken;;;B5;;;;;bij belsignaal brug vrijmaken;;;;;;;;;;;;
B6;;;Bij brug open; rotonde vrij houden;;B6;;;;;Bij brug open;;;;;;;;;;;;
B6;;;bij file minirotonde vrijlaten;;;B6;;;;;bij file minirotonde vrijlaten;;;;;;;;;;;;
B6;;;Bij file rotonde vrjilaten;;;B6;;;;;Bij file rotonde vrjilaten;;;;;;;;;;;;
B3;;;Bij file spoorbaan steeds vrijlaten;;;B3;;;;;Bij file spoorbaan steeds vrijlaten;;;;;;;;;;;;
B1;;;bij FILE spoorbaan VRIJ laten;;;B1;;;;;bij FILE spoorbaan VRIJ laten;;;;;;;;;;;;
B1;;;Bij file spoorbaan vrijhouden;;;B1;;;;;Bij file spoorbaan vrijhouden;;;;;;;;;;;;
B3;;;bij FILE spoorbaan vrijlaten;;;B3;;;;;bij FILE spoorbaan vrijlaten;;;;;;;;;;;;
B6;;;Bij FILE spoorbaan vrijlaten;;;B6;;;;;Bij FILE spoorbaan vrijlaten;;;;;;;;;;;;
B2;;;Bij file stoplicht in werking;;;B2;;;;;Bij file stoplicht in werking;;;;;;;;;;;;
B1;;;Bij geopende brug hier opstellen;;;B1;;;;;Bij geopende brug hier opstellen;;;;;;;;;;;;
B3;;;Bij geopende brug inrit vrijhouden;;;B3;;;;;Bij geopende brug inrit vrijhouden;;;;;;;;;;;;
B6;;;BIJ GESLOTEN OVERWEG HIER STOPPEN;;;B6;;;;;BIJ GESLOTEN OVERWEG HIER STOPPEN;;;;;;;;;;;;
B6;;;Bij gesperde brug rotonde vrijhouden i.v.m. hulpdiensten;;;B6;;;;;Bij gesperde brug rotonde vrijhouden i.v.m. hulpdiensten;;;;;;;;;;;;
B6;;;Bij gesperde rotonde vrijhouden i.v.m. hulpdiensten;;;B6;;;;;Bij gesperde rotonde vrijhouden i.v.m. hulpdiensten;;;;;;;;;;;;
B6;;;Bij het verlaten rotonde richting aangeven;;;B6;;;;;Bij het verlaten rotonde richting aangeven;;;;;;;;;;;;
B6;;;Bij hoogwater doorgaand verkeer gestremd;;;B6;;;;;Bij hoogwater doorgaand verkeer gestremd;;;;;;;;;;;;
B6;;;Bij qesperde brug vrijhouden i.v.m. hulpdiensten;;;B6;;;;;Bij qesperde brug vrijhouden i.v.m. hulpdiensten;;;;;;;;;;;;
B5;;;bij regen glad wegdek;;;B5;;;;;bij regen glad wegdek;;;;;;;;;;;;
B6;;;Bij regen vaker groen voor fietsers;;;B6;;;;;Bij regen vaker groen voor fietsers;;;;;;;;;;;;
B6;;;BIJ ROOD LICHT FIETSPAD VRIJLATEN;;;B6;;;;;BIJ ROOD LICHT FIETSPAD VRIJLATEN;;;;;;;;;;;;
B5;;;Blijderveen Pallets BV;;;B5;;;;;Blijderveen Pallets BV;;;;;;;;;;;;
B1;;;Bloemstede;;;B1;;;;;Bloemstede;;;;;;;;;;;;
B5;;;bocht links;;;B5;;;;;bocht links;;;;;;;;;;;;
B4;;;bocht rechts;;;B4;;;;;bocht rechts;;;;;;;;;;;;
B3;;;Boerderij Nooitgedacht;;;B3;;;;;Boerderij Nooitgedacht;;;;;;;;;;;;
B1;;;"Borgerswold;Campers Borgerswold";;;B1;;;;;"Borgerswold;Campers Borgerswold";;;;;;;;;;;;
B6;;;Bouwplaats LAB42 Oversteken fietspad onder begeleiding van portier;;;B6;;;vrije tekst;omschrijving;Bouwplaats LAB42 Oversteken fietspad onder begeleiding van portier;;;;;;;;;;;;
B6;;;BOUWVERKEER;;;B6;;;;;BOUWVERKEER;;;;;;;;;;;;
B1;;;Bouwverkeer Achter 't Holthuis;;;B1;;;;;Bouwverkeer Achter 't Holthuis;;;;;;;;;;;;
B1;;;Bouwverkeer ADST;;;B1;;;;;Bouwverkeer ADST;;;;;;;;;;;;
B1;;;Bouwverkeer Creil;;;B1;;;;;Bouwverkeer Creil;;;;;;;;;;;;
B6;;;Bouwverkeer Haren Noord;;;B6;;;;;Bouwverkeer Haren Noord;;;;;;;;;;;;
B1;;;bouwverkeer Kerckebosch;;;B1;;;;;bouwverkeer Kerckebosch;;;;;;;;;;;;
B5;;;Bouwverkeer Koopman Franc;;;B5;;;;;Bouwverkeer Koopman Franc;;;;;;;;;;;;
B1;;;Bouwverkeer Lijnstukken;;;B1;;;;;Bouwverkeer Lijnstukken;;;;;;;;;;;;
B5;;;Bouwverkeer Sleydal;;;B5;;;;;Bouwverkeer Sleydal;;;;;;;;;;;;
B1;;;Bouwverkeer Waterdael;;;B1;;;;;Bouwverkeer Waterdael;;;;;;;;;;;;
B6;;;Brandweer waterwinplaats vrijhouden;;;B6;;;;;Brandweer waterwinplaats vrijhouden;;;;;;;;;;;;
B6;;;BRAS FIJNAART Pest-Tec;;;B6;;;;;BRAS FIJNAART Pest-Tec;;;;;;;;;;;;
B7;;;BRAS FIJNAART Pest-Tec;;;B7;;;;;BRAS FIJNAART Pest-Tec;;;;;;;;;;;;
B6;;;"BREEPARK Honden aan de lijn;camerabewaking";;;B6;;;;;"BREEPARK Honden aan de lijn;camerabewaking";;;;;;;;;;;;
B6;;;BREEVELD 20t/m28;;;B6;;;vrije tekst;omschrijving;BREEVELD 20t/m28;;;;;;;;;;;;
B4;;;Brom- (fietsers) op de rijbaan;;;B4;;;;;Brom- (fietsers) op de rijbaan;;;;;;;;;;;;
B1;;;Brom fietsers oversteken;;;B1;;;;;Brom fietsers oversteken;;;;;;;;;;;;
B5;;;bromfiets op de rijbaan;;;B5;;;;;bromfiets op de rijbaan;;;;;;;;;;;;
B6;;;Bromfietsen toegestaan;;;B6;;;;;Bromfietsen toegestaan;;;;;;;;;;;;
B6;;;bromfietsers op de rijbaan;;;B6;;;;;bromfietsers op de rijbaan;;;;;;;;;;;;
B3;;;Bromfietsers Veere;;;B3;;;;;Bromfietsers Veere;;;;;;;;;;;;
B1;;;Bromfietsersop de Rijbaan;;;B1;;;;;Bromfietsersop de Rijbaan;;;;;;;;;;;;
B5;;;brommers op de rijbaan;;;B5;;;;;brommers op de rijbaan;;;;;;;;;;;;
B3;;;Brug dicht Moter af zetten;;;B3;;;;;Brug dicht Moter af zetten;;;;;;;;;;;;
B4;;;Brug open; motor uit!;;B4;;;;;Brug open;;;;;;;;;;;;
B6;;;brug open; motor uit;;B6;;;;;brug open;;;;;;;;;;;;
B3;;;brug open ? motor af !;;;B3;;;;;brug open ? motor af !;;;;;;;;;;;;
B1;;;brug open motor af;;;B1;;;;;brug open motor af;;;;;;;;;;;;
B1;;;BRUG OPEN MOTOR AF;;;B1;;;;;BRUG OPEN MOTOR AF;;;;;;;;;;;;
B3;;;Brug open Motor af;;;B3;;;;;Brug open Motor af;;;;;;;;;;;;
B5;;;Brug open Motor af;;;B5;;;;;Brug open Motor af;;;;;;;;;;;;
B6;;;Brug open motor af;;;B6;;;;;Brug open motor af;;;;;;;;;;;;
B6;;;brug open motor af;;;B6;;;;;brug open motor af;;;;;;;;;;;;
B6;;;Brug open Motor af;;;B6;;;;;Brug open Motor af;;;;;;;;;;;;
B1;;;BRUG OPEN MOTOR AF !!;;;B1;;;;;BRUG OPEN MOTOR AF !!;;;;;;;;;;;;
B1;;;brug open motor af!;;;B1;;;;;brug open motor af!;;;;;;;;;;;;
B1;;;Brug open Motor uit;;;B1;;;;;Brug open Motor uit;;;;;;;;;;;;
B1;;;brug open motor uit;;;B1;;;;;brug open motor uit;;;;;;;;;;;;
B3;;;brug open motor uit;;;B3;;;;;brug open motor uit;;;;;;;;;;;;
B6;;;Brug open motor uit;;;B6;;;;;Brug open motor uit;;;;;;;;;;;;
B6;;;brug open motor uit;;;B6;;;;;brug open motor uit;;;;;;;;;;;;
B1;;;"brug open motor uit;slagbomen dalen automatisch";;;B1;;;;;"brug open motor uit;slagbomen dalen automatisch";;;;;;;;;;;;
B7;;;Brug open. Motor af.;;;B7;;;;;Brug open. Motor af.;;;;;;;;;;;;
B6;;;Brug wordt op afstand bediend;;;B6;;;;;Brug wordt op afstand bediend;;;;;;;;;;;;
B6;;;Busbaan;;;B6;;;;;Busbaan;;;;;;;;;;;;
B6;;;busbaan;;;B6;;;;;busbaan;;;;;;;;;;;;
B7;;;busbaan;;;B7;;;;;busbaan;;;;;;;;;;;;
B6;;;"busbaan;";;;B6;;;;;"busbaan;";;;;;;;;;;;;
B6;;;"busbaan;Fietser Let op stoplicht";;;B6;;;;;"busbaan;Fietser Let op stoplicht";;;;;;;;;;;;
B6;;;"busbaan;let op! tegemoetkomend verkeer";;;B6;;;;;"busbaan;let op! tegemoetkomend verkeer";;;;;;;;;;;;
B1;;;bussluis;;;B1;;;;;bussluis;;;;;;;;;;;;
B4;;;"Buurthuis ""De Brem""";;;B4;;;;;"Buurthuis ""De Brem""";;;;;;;;;;;;
B5;;;"Buurthuis ""De Brem""";;;B5;;;;;"Buurthuis ""De Brem""";;;;;;;;;;;;
B3;;;CADO 3;;;B3;;;;;CADO 3;;;;;;;;;;;;
B4;;;Cafe-Waalterras Sprokkelenburg bereikbaar via Waaldijk bij Lent;;;B4;;;;;Cafe-Waalterras Sprokkelenburg bereikbaar via Waaldijk bij Lent;;;;;;;;;;;;
B1;;;Camerabewaking;;;B1;;;;;Camerabewaking;;;;;;;;;;;;
B6;;;Camerabewaking;;;B6;;;;;Camerabewaking;;;;;;;;;;;;
B1;;;cameratoezicht;;;B1;;;;;cameratoezicht;;;;;;;;;;;;
B1;;;Cameratoezicht;;;B1;;;;;Cameratoezicht;;;;;;;;;;;;
B2;;;Cameratoezicht;;;B2;;;;;Cameratoezicht;;;;;;;;;;;;
B3;;;cameratoezicht;;;B3;;;;;cameratoezicht;;;;;;;;;;;;
B4;;;Cameratoezicht;;;B4;;;;;Cameratoezicht;;;;;;;;;;;;
B5;;;Cameratoezicht;;;B5;;;;;Cameratoezicht;;;;;;;;;;;;
B6;;;Cameratoezicht;;;B6;;;;;Cameratoezicht;;;;;;;;;;;;
B1;;;Cameratoezicht gem Terneuzen;;;B1;;;;;Cameratoezicht gem Terneuzen;;;;;;;;;;;;
B5;;;CAMERATOEZICHT onleesbaar;;;B5;;;;;CAMERATOEZICHT onleesbaar;;;;;;;;;;;;
B6;;;Cameratoezicht onleesbaar;;;B6;;;;;Cameratoezicht onleesbaar;;;;;;;;;;;;
B3;;;Camperplaatsen;;;B3;;;;;Camperplaatsen;;;;;;;;;;;;
B1;;;"Campers Borgerswold;Borgerswold";;;B1;;;;;"Campers Borgerswold;Borgerswold";;;;;;;;;;;;
B5;;;camping;;;B5;;;;;camping;;;;;;;;;;;;
B6;;;Camping Zeeburg bereikbaar;;;B6;;;;;Camping Zeeburg bereikbaar;;;;;;;;;;;;
B3;;;CAMPUS (onleesbaar);;;B3;;;;;CAMPUS (onleesbaar);;;;;;;;;;;;
B3;;;CAMPUS Sportcentrum Arcus Theater 't Mozaiek Maaswaal College vmbo jongerencentrum Hiernaast Hockeyclub Wijchen;;;B3;;;;;CAMPUS Sportcentrum Arcus Theater 't Mozaiek Maaswaal College vmbo jongerencentrum Hiernaast Hockeyclub Wijchen;;;;;;;;;;;;
B4;;;CAMPUS Sportcentrum Arcus Theater 't Mozaiek Maaswaal College vmbo Jongerencentrum Hiernaast Hockeyclub Wijchen;;;B4;;;;;CAMPUS Sportcentrum Arcus Theater 't Mozaiek Maaswaal College vmbo Jongerencentrum Hiernaast Hockeyclub Wijchen;;;;;;;;;;;;
B7;;;"CAUTION onleesbaar;LET OP! onleesbaar";;;B7;;;;;"CAUTION onleesbaar;LET OP! onleesbaar";;;;;;;;;;;;
B6;;;Centrum;;;B6;;;;;Centrum;;;;;;;;;;;;
B6;;;Centrum en Station <--;;;B6;;;;;Centrum en Station <--;;;;;;;;;;;;
B6;;;"Coevorden;Nieuw Amsterdam";;;B6;;;;;"Coevorden;Nieuw Amsterdam";;;;;;;;;;;;
B7;;;controle;;;B7;;;;;controle;;;;;;;;;;;;
B1;;;COVID-19 TESTLOCATIE;;;B1;;;vrije tekst;omschrijving;COVID-19 TESTLOCATIE;;;;;;;;;;;;
B2;;;Crematorium;;;B2;;;;;Crematorium;;;;;;;;;;;;
B5;;;Crematorium;;;B5;;;;;Crematorium;;;;;;;;;;;;
B6;;;Cruquius;;;B6;;;;;Cruquius;;;;;;;;;;;;
