rvvCode; blackCode; zoneCode; textSigns;;;naam;blackCode;Zonebord;Soort onderbord;atrtribuutnaam 1;Waarde 1;atrtribuutnaam 2;Waarde 2;atrtribuutnaam 3;Waarde 3;atrtribuutnaam 4;Waarde 4;atrtribuutnaam 5;Waarde 5;atrtribuutnaam 6;Waarde 6;atrtribuutnaam 7;Waarde 7
B6;;;";Carglass bezoekers";;;B6;;;vrije tekst;omschrijving;";Carglass bezoekers";;;;;;;;;;;;
B6;;;";Dagelijks 18.00-24.00 h";;;B6;;;Tijdstipaanduiding;Starttijd;18:00:00;Eindtijd;24:00:00;;;;;;;;;;
B6;;;";Dagelijks 18.00-24.00 h";;;B6;;;Dagaanduiding;Dag;Maandag;Dag;Dinsdag;Dag;Woensdag;Dag;Donderdag;Dag;Vrijdag;Dag;Zaterdag;Dag;Zondag
B1;;;";DE BILT";;;B1;;;vrije tekst;omschrijving;";DE BILT";;;;;;;;;;;;
B6;;;";De Wittenberg";;;B6;;;vrije tekst;omschrijving;";De Wittenberg";;;;;;;;;;;;
B5;;;";Den Bonsen Hoek";;;B5;;;vrije tekst;omschrijving;";Den Bonsen Hoek";;;;;;;;;;;;
B6;;;";Doorgaand (vracht) verkeer B282/N631";;;B6;;;vrije tekst;omschrijving;";Doorgaand (vracht) verkeer B282/N631";;;;;;;;;;;;
B6;;;";Doorgaand verkeer via rijbaan";;;B6;;;vrije tekst;omschrijving;";Doorgaand verkeer via rijbaan";;;;;;;;;;;;
B6;;;";DOORGANG VRIJHOUDEN";;;B6;;;vrije tekst;omschrijving;";DOORGANG VRIJHOUDEN";;;;;;;;;;;;
B6;;;";DREMPEL";;;B6;;;vrije tekst;omschrijving;";DREMPEL";;;;;;;;;;;;
B6;;;";Fietsenstalling Station";;;B6;;;vrije tekst;omschrijving;";Fietsenstalling Station";;;;;;;;;;;;
B6;;;";Fietsers en voetgangers";;;B6;;;vrije tekst;omschrijving;";Fietsers en voetgangers";;;;;;;;;;;;
B7;;;";Fietsers op de rijbaan";;;B7;;;vrije tekst;omschrijving;";Fietsers op de rijbaan";;;;;;;;;;;;
B6;;;";FIETSERS OVERSTEKEN";;;B6;;;vrije tekst;omschrijving;";FIETSERS OVERSTEKEN";;;;;;;;;;;;
B6;;;";Fietsers voorrang";;;B6;;;vrije tekst;omschrijving;";Fietsers voorrang";;;;;;;;;;;;
