rvvCode; blackCode; zoneCode; textSigns;;;naam;blackCode;Zonebord;Soort onderbord;
C1;;;uitgezonderd fietsers en ontheffingshouders;;;C1;;;Uitgezonderd;
C2;;;"uitgezonderd;NA 70 M";;;C2;;;"Uitgezonderd; lengte na; ";
C6;;;"uitgezonderd;uitgezonderd bouwverkeer and bestemmingsverkeer";;;C6;;;"Uitgezonderd; lengte na; ";
C2;;;uitgezonded (Brom) fietsen;;;C2;;;uitgezonderd;
C3;;;uitgezonderderd brom(fietsers);;;C3;;;Uitgezonderd;
C1;;;UITGEZONDERD K.N.R.M.;;;C1;;;Uitgezonderd;
C2;;;"uitgezonderd;ma."; di. en do. 08-08.45h ; 11.30-13.30h en 14.45-15.30h. wo. en vr. 08-08.45h en 12-12.45h.;C2;;;"Uitgezonderd;dagaanduiding;tijdstipaanduiding";
C2;;;sovak Ravensnest 1;;;C2;;;vrije tekst;
C12;;;"uitgezonderd bestemmingsverkeer;doorgaand verkeer Kwadijk afgesloten na 500 m.";;;C12;;;"Uitgezonderd, afsluiting doorgaand verkeer; lengte na";
C3;;;Stoppen vÃ²Ã²r witte streep !;;;C3;;;;
C3;;;"uitgezonderd;ma t/m vr 08.00-16.00 h";;;C3;;;"Uitgezonderd;dagaanduiding;tijdstipaanduiding";
C12;;;"uitgezonderd bestemmingsverkeer;Ad v.d. Weijgaert altijd bereikbaar";;;C12;;;Uitgezonderd;
C2;;;"uitgezonderd;40m";;;C2;;;"Werkingslengte; uitgezonderd";
C1;;;Met uitzondering van brandweer;;;C1;;;Uitgezonderd;
C13;;;"snorfiets verboden;Dieser Bereich wind kameraÃƒÂƒÃ‚Â¼berwocht;Dit gebied is beveiligd d.m.v. cameratoezicht";;;C13;;;;
C1;;;uitgezonderd bevoorrading;;;C1;;;Uitgezonderd;
C18;2.2;;na 500 m;;;C18;;;;
C15;;;verhoogde rijbaanscheiding;;;C15;;;;
C7;;;uitgezonderd korter dan 8 m;;;C7;;;Uitgezonderd;
C3;;;"uitgezonderd;Alcoholverbod onleesbaar";;;C3;;;uitgezonderd, vrije tekst;
C3;;;UITGEZONDERD (BROM) FIEYSERS;;;C3;;;uitgezonderd;
C16;;;na 100 m;;;C16;;;Lengte na;
C3;;;leveranciers via spinveld;;;C3;;;;
C20;6.6;;;;;C20;;;;
C7;;;uitgezonderd bestemmings-verkeer Heersdijk;;;C7;;;uitgezonderd;
C18;1.8;;200 m;;;C18;;;;
C2;;;Fietsers;;;C2;;;geldigheid voor;
C17;9;;;;;C17;;;;
C15;;;Bezoekers pompstation doorrijden tot slagboom;;;C15;;;;
C3;;;geen openbare parkeerplaats;;;C3;;;vrije tekst;
C2;;;Verboden voor vrachtverkeer.;;;C2;;;verboden voor;
C1;;;Vrijdag 21.00 u. tot Zaterdag 18.00 u. i.v..m. weekmarkt;;;C1;;;"Tijdstipaanduiding;Dagaanduiding";
C7;;;"500 m;uitgezonderd bestemmingsverkeer";;;C7;;;werkingslengte, uitgezonderd;
C3;;;"Geldt niet voor fietsers;GELDT VAN 18.00 TOT 01.00 U";;;C3;;;;
C1;;;op woensdagen tussen 05-14uur;;;C1;;;"Tijdstipaanduiding;Dagaanduiding";
C1;;;aanwonende en verzorgend verkeer uitgezonderd;;;C1;;;Uitgezonderd;
C21;1.5;;uitgezonderd bestemmingsverkeer;;;C21;;;Uitgezonderd;
C1;;;"na 1000m;uitgezonderd;uitgezonderd landbouw- verkeer;bussluis";;;C1;;;Uitgezonderd, lengte na;
C6;;;"na 800 m;werkdagen 06.00-09.00 h;uitgezonderd";;;C6;;;"Lengte na, Uitgezonderd;dagaanduiding;tijdstipaanduiding";
C4;L;;Container Verzamelplaats;;;C4;;;;
C12;;;800 m;;;C12;;;;
C4;R;;";uitgezonderd bevoorradend verkeer";;;C4;;;Uitgezonderd;
C21;3;;eigen weg;;;C21;;;eigen weg;
C7;;;uitgezonderd ma t/m vrij. 07.00-09.00 h;;;C7;;;"Uitgezonderd;dagaanduiding;tijdstipaanduiding";
C7;;;NA 120 m;;;C7;;;Lengte na;
C7;;;300 meter;;;C7;;;;
C1;;;"zondag 00-24 h;ma t/m za 19-07 h";;;C1;;;"Tijdstipaanduiding;Dagaanduiding";
C2;;;M.u.v. voetgangers;;;C2;;;uitzondering voor;
C1;;;"uitgezonderd;uitgezonderd op maandag tot 14.00h i.v.m. markt;ma t/m vr 06-11 h;uitgezonderd;max. 11 m lang";;;C1;;;"Uitgezonderd;Tijdstipaanduiding;Dagaanduiding";
C3;;;"uitgezonderd;uitgezonderd lijnbussen";;;C3;;;Uitgezonderd;
C1;;;"uitgezonderd;Uitgezonderd onderhoudsvoertuigen";;;C1;;;uitgezonderd;
C19;3;;na 750 m;;;C19;;;;
C18;3;;;;;C18;;;;
C2;;;"90 m;uitgezonderd";;;C2;;;werkingslengte, uitgezonderd;
C20;4;;na 300 m;;;C20;;;Lengte na;
C12;;;uitgezonderd 07.00-11.00h;;;C12;;;uitgezonderd, tijdstipaanduiding;
C21;180;;CAMERATOEZICHT;;;C21;;;;
C1;;;"uitgezonderd aanwonenden;Vakantieboerderij ""Heydepark""";;;C1;;;uitgezonderd;
C2;;;uitgezonderd brom/fietsers;;;C2;;;uitgezonderd;
C17;5.5;;;;;C17;;;;
C2;;;"uitgezonderd;van 07.00 u. tot 10.00 u";;;C2;;;uitgezonderd, tijdstipaanduiding;
C1;;;"ma t/m za 07.00-11.00 h en 17.00-19.30h koopavonden 17.00-18.00h;fietsen toegestaan snorfietsen niet;uitgezonderd";;;C1;;;"Tijdstipaanduiding;Dagaanduiding;Uitgezonderd";
C12;;;uitgezonderd ten behoeve van aanwonenden adelaarsweg 7;10; 11 wn 14;C12;;;uitgezonderd;
C18;;;Na 200 meter;;;C18;;;;
C18;2.1;;uitgezonderd;;;C18;;;Uitgezonderd;
C3;;;uitgezonderd fietsers en bromfietsers;;;C3;;;Uitgezonderd;
C17;7;;;;;C17;;;;
C21;3.5;;Prive parkeren alleen voor lunchroom & garages;;;C21;;;vrije tekst;
C7;;;na 100 meter;;;C7;;;Lengte na;
C7;;;22-06 h;;;C7;;;;
C9;;;Uitgezonderd Bewoners/bezoekers Huis ten Bosch;;;C9;;;Uitgezonderd;
C12;;;M.U.V. Bouwverkeer;;;C12;;;;
C20;2.5;;100 m;;;C20;;;;
C3;;;"uitgezonderd;40 m";;;C3;;;"Uitgezonderd; werkingslengte";
C2;;;"uitgezonderd;Uitgezonderd taxi's vr t/m zo 01.00-06.00h;Uitgezonderd laden en lossen tussen 07.00-11.00 h;Uitgezonderd TTO-Taxi's vr t/m zo 01:00-06:00 h";;;C2;;;Uitgezonderd, dagaanduiding, tijdstipaanduiding;
C18;2.0;;150 m;;;C18;;;;
C3;;;Parkeren in de vakken;;;C3;;;vrije tekst;
C1;;;zaterdag van 02.00-19.30 h i.v.m. markt;;;C1;;;"Tijdstipaanduiding;Dagaanduiding";
C7(Zone);;;"550 m;uitgezonderd";;;C7(Zone);;;Werkingslengte, uitgezonderd;
C6;;;Geldt voor taxi's op do; vr en za van 01.00 - 06.00 h;;C6;;;;
C1;;;niet parkeren uitrit vrijlaten t.b.v. Brandweer;;;C1;;;vrije tekst;
C12;;;"200 m;uitgezonderd landbouwverkeer";;;C12;;;Werkingslengte, uitgezonderd;
C19;2.5;;na 50 m;;;C19;;;Lengte na;
C17;10;;na 950 m;;;C17;;;;
C6;;;"ma. t/m vr. 8.00-16.00;uitgezonderd: - ontheffingshouders - laden en lossen goederen - taxi's";;;C6;;;Uitgezonderd, dagaanduiding, tijdstipaanduiding;
C2;;;uitgezonderd (brom)fietsers;;;C2;;;Uitgezonderd;
C3;;;Leveranciers & Kiss & ride;;;C3;;;;
C1;;;"na 250m;uitgezonderd";;;C1;;;Uitgezonderd, lengte na;
C1;;;m.u.v. ontheffing;;;C1;;;uitgezonderd;
C4;L;;"uitgezonderd;van 2 mei tot 15 september";;;C4;;;Uitgezonderd, datumaanduiding;
C7b;;;35t;;;C7b;;;;
C4;R;;m.u.v. de gladheidsbestrijding;;;C4;;;;
C3;;;Alleen parkeren GAMMA bezoekers;;;C3;;;vrije tekst;
C1;;;uitgezonderd berm;;;C1;;;Uitgezonderd, vrije tekst;
C7;;;"max.2200 kg;m.u.v. toestemming";;;C7;;;;
C2;;;"uitgezonderd;inrit altijd vrij laten afsleepregeling";;;C2;;;inrit;
C1;;;uitgezonderd bewoners Leeuwenburgerlaan;;;C1;;;uitgezonderd;
C1;;;m.u.v. leveranciers;;;C1;;;uitgezonderd;
C7;;;Eigen terrein Parkeren alleen voor bezoekers Hotel Faber;;;C7;;;vrije tekst;
C1;;;Uitgezonderd ontheffinghouders;;;C1;;;uitgezonderd;
C19;Inapplicable;;1 km;;;C19;;;;
C12;;;uitgezonderd bestemmings- verkeer en invalidevoertuigen;;;C12;;;uitgezonderd;
C19;2.51;;;;;C19;;;;
C1;;;donderdag 06.00-15.30h;;;C1;;;"Tijdstipaanduiding;Dagaanduiding";
C1;;;"07.00-12.00h;uitgezonderd";;;C1;;;"Uitgezonderd;Tijdstipaanduiding;Dagaanduiding";
C3;;;"BEHALVE FIETSERS;Let op ! parkeren in de vakken";;;C3;;;vrije tekst;
C2;;;herhaling;;;C2;;;herhaling;
C7;;;Doorgaand vrachtverkeer gestremd na 175 m;;;C7;;;"afsluiting doorgaand verkeer; lengte na";
C1;;;"5-12h;Ma t\m zoo van 21-09h";;;C1;;;"Tijdstipaanduiding;Dagaanduiding";
C3;;;zoen en zoef;;;C3;;;;
C12;;;"350 meter;uitgezonderd";;;C12;;;Werkingslengte, uitgezonderd;
C12;;;uItgezonderd aanwoneneden en exploitatie aangende percelen;;;C12;;;uitgezonderd;
C12;;;"uitgezonderd bestemmingsverkeer;Langzaam rijden i.v.m. stuiven";;;C12;;;uitgezonderd;
C12;;;na 40 mtr;;;C12;;;;
C3;;;";Let op! Prive terrein Wegsleepregeling";;;C3;;;vrije tekst;
C2;;;"na 45m ;uitgezonderd";;;C2;;;"Uitgezonderd; lengte na; ";
C1;;;parkeren verboden voor onbevoegden PRIVE TERREIN;;;C1;;;vrije tekst;
C12;;;"uitgezonderd taxi's van 6-20 h en bestemmings verkeer KMA;onleesbaar";;;C12;;;uitgezonderd, ijdstipaanduiding, uitgezonderd;
C18;2.2;;na. 30 m;;;C18;;;;
C12;;;Na 30 m;;;C12;;;Lengte na;
C2;;;"70 m;uitgezonderd";;;C2;;;"Werkingslengte;uitgezonderd";
C1;;;M.U.V. TAXI EN AMBULANCE;;;C1;;;uitgezonderd;
C3;;;"uitgezonderd;Scanauto's controleren betaald parkeren";;;C3;;;vrije tekst;
C12;;;uitgezonderd t.b.v. aanwonende;;;C12;;;Uitgezonderd;
C19;2.2;;na 100 m;;;C19;;;Lengte na;
C2;;;"School via Spoorlaan;Alleen voor taxibussen";;;C2;;;Uitgezonderd, vrije tekst;
C6;;;ma.-vr 7-9h en 16-18 h;;;C6;;;;
C17;12;;Spuistraat en Kaai afgesloten voor vrachtverkeer;;;C17;;;;
C1;;;donderdag van 06.00-15.30 h;;;C1;;;"Tijdstipaanduiding;Dagaanduiding";
C7;;;Cameratoezicht;;;C7;;;;
C12;;;uitgezonderd agrarisch bestemmings- verkeer;;;C12;;;Uitgezonderd;
C7;;;1200 m;;;C7;;;;
C1;;;Uitgezonderd van zonsopkomst tot zonsondergang;;;C1;;;Uitgezonderd, Zonsopkomst tot zonsondergang;
C2;;;PARKEREN ALLEEN TOEGESTAAN IN DE PARKEERVAKKEN;;;C2;;;vrije tekst;
C15;;;uitgezonderd landoouw-voertuigen;;;C15;;;uitgezonderd;
C18;2.2;;"400 m;brug";;;C18;;;;
C1;;;m.u.v. vergunninghouders Staatsbosbeheer;;;C1;;;uitgezonderd;
C4;R;;fietsers uitgezonderd;;;C4;;;uitgezonderd;
C7;;;"200 m;uitgezonderd ma . t/m vrij. 07.00-19.00 h";;;C7;;;Werkingslengte, uitgezonderd, dagaanduiding, tijdstipaanduiding;
C12;;;"Uitgezonderd ma.t/m vr.6-21 uur zaterdag 6-18 uur;na 80 m";;;C12;;;lengte na, uitgezonderd, dagaanduiding, tijdstipaanduiding;
C1;;;MUV GVB;;;C1;;;uitgezonderd;
C1;;;uitgezonderd rouwauto's;;;C1;;;uitgezonderd;
C20;5;;140m;;;C20;;;;
C1;;;uitgezonderd fletsers en vergunning- houders;;;C1;;;uitgezonderd;
C1;;;uitgezonderd Bellevue en Brouwerij 11 t/ m 23 en 26 t/m 39;;;C1;;;uitgezonderd;
C1;;;m.u.v. toestemming sluismeester;;;C1;;;uitgezonderd;
C3;;;"Bij groen licht een voertuig;uitgezonderd";;;C3;;;uitgezonderd, vrije tekst;
C2;;;"25m;uitgezonderd";;;C2;;;werkingslengte, uitgezonderd;
C2;;;20m;;;C2;;;werkingslengte, lengte na?;
C7;;;50 m;;;C7;;;;
C3;;;9890;;;C3;;;;
C12;;;"uitgezonderd;na 700 m";;;C12;;;lengte na, uitgezonderd;
C2;;;onlessbaar;;;C2;;;vrije tekst;
C12;;;"uitgezonderd bestemmingsverkeer;uitgezonderd houders van een invalidenparkeerkaart van zonsopgang tot zonsondergang";;;C12;;;Uitgezonderd, Zonsopkomst tot zonsondergang;
C2;;;PRIVE TERREIN parkeren uitsluitend bezoekers verzorgingshuis en aanleunwoningen;;;C2;;;vrije tekst;
C2;;;275 m;;;C2;;;werkingslengte, lengte na?;
C2;;;"na 30 meter;uitgezonderd";;;C2;;;"Uitgezonderd; lengte na; ";
C12;;;uitgezonderd (onleesbaar);;;C12;;;uitgezonderd;
C19;4.25;;;;;C19;;;;
C7;;;UITGEZONDERD TER BEREIKING AANLIGGENDE PERCELEN;;;C7;;;uitgezonderd;
C12;;;uitgezonderd bijzonder verkeer inrit ruinekerk (30m.);;;C12;;;uitgezonderd;
C20;6.2;;;;;C20;;;;
C3;;;"uitgezonderd;P-tarief altijd Ã¢Â‚Â¬16";- max. 4 uur;;C3;;;uitgezonderd, vrije tekst;
C3;;;"uitgezonderd;let op! smalle weg";;;C3;;;"uitgezonderd;waaarschuwing";
C18;;;500 m;;;C18;;;;
C1;;;M.U.V. PERSONEEL;;;C1;;;uitgezonderd;
C1;;;uitgezonderd bussen openbaar- vervoer en dienstauto's GVB;;;C1;;;uitgezonderd;
