rvvCode; blackCode; zoneCode; textSigns;;;naam;blackCode;Zonebord;Soort onderbord;
C19;3.1;;150m;;;C19;;;;
C3;;;herhaling;;;C3;;;;
C2;;;25m;;;C2;;;;
C4;;;uitgezonderd;;;C4;;;Uitgezonderd;
C3;;;betaald parkeren bezoekers het gezondheidscentrum vrij;;;C3;;;vrije tekst;
C12;;;m.u.v. landbouwverkeer;;;C12;;;;
C7;;;1900 - 700 h;;;C7;;;;
C20;7;;600 m;;;C20;;;;
C3;;;"ma t/m vr 8-17h uitgezonderd;uitgezonderd";;;C3;;;;
C7;;;";UITSLUITEND VOOR BEZOEKERS EN WERKNEMERS WEGSLEEPREGELING VAN KRACHT";;;C7;;;uitsluitend;
C12;;;Let op! fietsweg;;;C12;;;;
C12;;;uitgezonderd lanbouw- en bestemmings- verkeer;;;C12;;;;
C4;L;;uitgezonderd lijnbussen;;;C4;;;Uitgezonderd;
C3;;;"70 m;uitgezonderd";;;C3;;;Uitgezonderd;
C12;;;"NAM-voertuigen uitgezonderd;NA 200 M";;;C12;;;;
C7;;;23.00-07.00h;;;C7;;;;
C1;;;I.V.M. Markt op woensdag 06.00-19.00 h wegsleegregeling van kracht;;;C1;;;"Dagaanduiding;tijdstipaanduiding;vrije tekst";
C7;;;Parkeren op eigen risico;;;C7;;;vrije tekst;
C6;;;Uitgezonderd garagehouders;;;C6;;;;
C7;;;ma. t/m vr. 08.00-09.00h. 11.30-13.30 h en 15.00-16.00h;;;C7;;;;
C7b;;;;;;C7b;;;;
C18;2.2;;700 m;;;C18;;;;
C12;;;"zo. 00.00-24.00 h. uitgezonderd exploitatie aanliggende percelen;zo. 00.00-24.00 h.";;;C12;;;;
C18;2.0;;na 450 m;;;C18;;;;
C1;;;uitgezonderd bestemmings- verkeer en;;;C1;;;Uitgezonderd;
C2;;;PARTICULIER TERREIN PARKEREN UITSLUITEND BEZOEKERS EN MEDEWERKERS GEMIVA-SVG GROEP;;;C2;;;vrije tekst;
C6;;;uitgezonderd vergunnings-houders;;;C6;;;;
C12;;;Na 250 m uitgezonderd aanwonenden;;;C12;;;;
C2;;;100 m;;;C2;;;;
C1;;;uitgezonderd afval en hulpdiensten;;;C1;;;Uitgezonderd;
C19;;;NA 150 M;;;C19;;;Lengte na;
C6;;;"uitgezonderd bestemmingsverkeer;Wiecherinksweg 16 via Lansinkweg";;;C6;;;;
C3;;;ma 12.00-18.00 h di t/m za 9.00-18.00 h koopavond tot 21.00 h;;;C3;;;;
C1;;;uitgezonderd bestemmings- verkeer KoetshÃƒÂ¼slane nr. 38;;;C1;;;Uitgezonderd;
C1;;;UITGEZONDERD onleesbaar BESTEMMINGSVERKEER;;;C1;;;Uitgezonderd;
C12;;;geldt niet voor ontheffinghouders;;;C12;;;;
C18;2.3;;"uitgezonderd bestemmingsverkeer;uitgezonderd";;;C18;;;Uitgezonderd;
C1;;;"na 90 m;uitgezonderd";;;C1;;;Uitgezonderd, lengte na;
C7(Zone);;;"500 m;Uitgezonderd 06:00-22:00";;;C7(Zone);;;;
C3;;;geldt voor laden lossen vrachtwagen;;;C3;;;;
C3;;;LADEN/LOSSEN LEVERANCIERS GAMMA;;;C3;;;;
C21;45;;bruglengte 20.95 m;;;C21;;;;
C4;Unknown;;;;;C4;;;;
C2;;;m.u.v . taxi; ambulance en personenvervoer;;C2;;;;
C4;R;;UITGEZONDERD DIENST VOERTUIGEN SPORTPARK OOKMEER;;;C4;;;;
C3;;;"25m;uitgezonderd";;;C3;;;;
C2;;;"na 500 m;uitgezonderd";;;C2;;;"Uitgezonderd; lengte na; ";
C7a;;;"Zo-Vr;CAMERABEWAKING onleesbaar;onleesbaar";;;C7a;;;;
C7;;;MAX 2 TON;;;C7;;;;
C7;;;Uitgezonderd lijndiensten;;;C7;;;Uitgezonderd;
C12;;;";uitgezonderd bestemmingsverkeer;ma t/m vr 16-18 h";;;C12;;;;
C12;;;Na 250 M;;;C12;;;Lengte na;
C2;;;over 40 m;;;C2;;;;
C12;;;m.u.v. landbouw- en bestemmings- verkeer;;;C12;;;;
C13;;;50 m;;;C13;;;;
C12;;;"200m;breikbaar tot nr.72 nr.73t/m 111 via Noordstedeweg";;;C12;;;;
C20;4.8;;"Verboden voor Onbevoegden;eigen weg";;;C20;;;verboden toegang;
C1;;;"uitgezonderd bestemmingsverkeer;;leveranciers achterom";;;C1;;;Uitgezonderd;
C1;;;Uitgezonderd Taxi's;;;C1;;;Uitgezonderd;
C7b;;;2 km;;;C7b;;;;
C3;;;parkeren alleen voor bewoners en bezoekers Horstenburgh;;;C3;;;vrije tekst;
C21;3.5;;Leveranciers via Galgeweg;;;C21;;;;
C7;;;VRACHTVERKEER VIA LEGMEERDIJK;;;C7;;;;
C8;;;NA 125 METER;;;C8;;;;
C1;;;"UITGEZONDERD GARAGE- GEBRUIKERS EN LEVERANCIERS;Let op! camerabewaking";;;C1;;;Uitgezonderd;
C4;R;;BEHALVE FIETSEN EN BROMFIETSEN;;;C4;;;;
C7;;;08.00-09.00h 17.00-18.00h;;;C7;;;;
C1;;;"bestemmingsverkeer onleesbaar;CANTECLEER";;;C1;;;Uitgezonderd;
C2;;;Fietsers oversteken;;;C2;;;;
C20;2.5;;parkeerplaatsen alleen bestemd voor personenauto's;;;C20;;;vrije tekst;
C8;;;uitsluitend milieudienst;;;C8;;;uitsluitend;
C15;;;na 100m;;;C15;;;Lengte na;
C1;;;Uitgezonderd Fietsers en Ontheffings houders;;;C1;;;Uitgezonderd;
C2;;;UITGEZONDERD BULKAUTOS;;;C2;;;Uitgezonderd;
C1;;;uitgezonderd lijnbussen laden/lossen t.b.v. NS Tours and Tickets;;;C1;;;Uitgezonderd;
C1;;;";uitgezonderd laden/lossen en fietsers";;;C1;;;Uitgezonderd;
C4;R;;fietsers toegestaan geen snorfietsen;;;C4;;;;
C3;;;laad-losroute;;;C3;;;;
C9;;;250m;;;C9;;;;
C19;3.8;;NS 250 M;;;C19;;;;
C1;;;"Uitgezonderd werkverkeer;Uitgezonderd bestemmingsverkeer parkeerterrein en natuurspeelplaats";;;C1;;;Uitgezonderd, vrije tekst;
C7;;;";na 1000 m";;;C7;;;;
C20;2;;Parkeren op eigen risico. De directie stelt zich niet aansprakelijk voor diefstal en/of beschadiging van andermans eigendom;;;C20;;;vrije tekst;
C20;;;"350 m;";;;C20;;;;
C12;;;"TETTERODEWEG 14 EN 31 BEREIKBAAR VIA ZEEWEG;uitgezonderd t.b.v. bewoners";;;C12;;;;
C1;;;verboden toegang na zonsondergang en voor zonsopgang Art. 461 Wetb. v. Str.;;;C1;;;verboden toegang;Zonsopkomst tot zonsondergang
C17;14.5;;na 500 m;;;C17;;;;
C19;;;uitgezonderd;;;C19;;;Uitgezonderd;
C12;;;300m;;;C12;;;;
C3;;;DIT TERREIN HEEFT PERMANENTE onleesbaar;;;C3;;;;
C6;;;ma. t/m vr. 6.00-9.30h;;;C6;;;;
C3;;;uitgezonderd Aanspanningen/ Dunea verkeer;;;C3;;;;
C17;10.4;;uitgezonderd landbouwverkeer tot aan de brug;;;C17;;;;
C19;3.9;;350m;;;C19;;;;
C3;;;uitgezonderd bussen P3;;;C3;;;;
C2;;;"na 100 m;UITGEZONDERD FIETSEN";;;C2;;;"Uitgezonderd; lengte na; ";
C7;;;na 120 m.;;;C7;;;;
C13;;;Uitgezonderd agrarisch bestemmingsverkeer;;;C13;;;;
C6;;;UITGEZONDERD VERZORGINGSVERKEER;;;C6;;;Uitgezonderd;
C19;3.0;;;;;C19;;;;
C6;;;25 m;;;C6;;;;
C1;;;fietsers toegestaan ; snorfietsers niet;;C1;;;Toegestaan voor;
C2;;;OB54;;;C2;;;;
C17;25;;;;;C17;;;;
C19;;;"na 300 m;";;;C19;;;;
C4;R;;"uitgezonderd;5197";;;C4;;;;
C2;;;Uitgezonderd openbaarvervoer en taxi's;;;C2;;;Uitgezonderd;
C3;;;Afval brengen? Per 1 juli alleen met reservering www.acv-afvalbrengstation.nl;;;C3;;;;
C1;;;NO ENTRY;;;C1;;;verboden toegang;
C1;;;"uitgezonderd laden en lossen dagelijks van 6-11h uitgezonderd ontheffinghouders;Toegestaan uitgezonderd ma t/m za 11-17 h snor-en bromfietsen verboden";;;C1;;;Uitgezonderd;
C18;2.2;;275 m;;;C18;;;;
C1;;;Uitgezonderd leverantie verkeer;;;C1;;;Uitgezonderd;
C17;12;;na 100 m;;;C17;;;Lengte na;
C1;;;"Uitgezonderd laden en lossen tussen 07-11h en tussen 17.30-20h;uitgezonderd";;;C1;;;Uitgezonderd;
C3;;;"ma t / m vr 8 - 16 h;uitgezonderd";;;C3;;;;
C2;;;"uitgezonderd;Eenrichtingsverkeer geldt van: -ma t/m vr 8.15-8.45 uur -ma";di;do;C2;;;Uitgezonderd;
C12;;;Tussen zonsondergang en zonsopkomst uitgezonderd agrarisch bestemmingsverkeer;;;C12;;;Uitgezonderd, Zonsopkomst tot zonsondergang;
C7;;;na 450 m.;;;C7;;;Lengte na;
C15;;;"100 m;Grave Nijmegen";;;C15;;;;
C12;;;"uitgezonderd bestemmingsverkeer;Let op uw snelheid i.v.m. stofvorming";;;C12;;;;
C12;;;"300 m;ma t/m vrij 7.00 - 9.00 h. en 14.00 - 18.00 h.;uitgezonderd";;;C12;;;;
C1;;;met uitzondering laden/lossen voor bewoners;;;C1;;;Uitgezonderd;
C19;1.8;;;;;C19;;;;
C6;;;bewoners en bevoorradingsverkeer uitgezonderd;;;C6;;;;
C7;;;"160 m;uitgezonderd bestemmings- verkeer Heersdijk";;;C7;;;;
C2;;;BRANDWEERINGANG;;;C2;;;;
C18;2.0;;Situatie gewijzigd;;;C18;;;;
C12;;;uitgezonderd vergunninghouders;;;C12;;;Uitgezonderd;
C15;;;verboden toegang na sluitingstijd (onleesbaar);;;C15;;;verboden toegang;
C1;;;alleen toegang bezoekers Bomert Watersport;;;C1;;;verboden toegang;
C7(Zone);;;Uitgezonderd bestemmingsverkeer kern Hooge Zwaluwe;;;C7(Zone);;;;
C1;;;VERBODEN TOEGANG VOOR ONBEVOEGDEN;;;C1;;;verboden toegang;
C3;;;Afgifte goederen;;;C3;;;;
C20;2.4;;na 25 m;;;C20;;;Lengte na;
C1;;;m.u.v. expeditie; fietsers en voetgangers;;C1;;;Uitgezonderd;
C19;3.6;;450 m;;;C19;;;;
C3;;;uitsluitend parkeren bezoekers Wellehof;;;C3;;;vrije tekst;
C3;;;OB52;;;C3;;;;
C2;;;Uitgezonderd (snor)fietsers;;;C2;;;Uitgezonderd;
C3;;;EIGEN TERREIN;;;C3;;;;
C2;;;"Maandag t/m vnjdag 8:15-8.45 / 14.45-15.15 Woensdag 12:00-12:30;uitgezonderd";;;C2;;;Uitgezonderd;
C1;;;Leveranciers uitgezonderd;;;C1;;;Uitgezonderd;
C20;4.8;;250 m;;;C20;;;;
C17;10;;1200 m;;;C17;;;;
C17;10.4;;;;;C17;;;;
C12;;;150 m;;;C12;;;;
C12;;;"inhalen toegestaan;70 m";;;C12;;;;
C19;2.9;;ma t/m vr 9.00-18.00 h;;;C19;;;;
C7;;;na 1500 m;;;C7;;;;
C7;;;uitgezonderd  bestemmingsverkeer Haelenweg 53-60-62-72;;;C7;;;;
C2;;;"uitgezonderd;PRIVE";;;C2;;;Uitgezonderd;
C2;;;M.U.V. hulpdiensten;;;C2;;;;
C12;;;"7 - 19h;uitgezonderd ontheffing- houders";;;C12;;;;
C1;;;m.u.v. aanwonenden en ontheffinghouders;;;C1;;;Uitgezonderd;
C2;;;VERBODEN TOEGANG VOOR onleesbaar;;;C2;;;verboden toegang;
C3;;;"uitgezonderd;fietsers rechts houden";;;C3;;;;
C7;;;"uitgezonderd bestemmingsverkeer;PrivÃ© terrein betreden op eigen risico";;;C7;;;;
C2;;;30 m;;;C2;;;;
C1;;;"uitsluitend dienstverkeer;wegsleepregeling van kracht";;;C1;;;uitsluitend;
C16;;;PrivÃ© terrein;;;C16;;;;
C3;;;"na 50 m;Cameratoezicht";;;C3;;;Lengte na;
C7(Zone);;;"uitgezonderd bestemmingsverkeer;na 1500 m";;;C7(Zone);;;;
C12;4.8;;uitgezonderd bestemmingsverkeer;;;C12;;;Uitgezonderd;
C18;2.2;;500m;;;C18;;;;
C17;10;;50 m;;;C17;;;;
C18;;;900 m;;;C18;;;;
C3;;;GELDT NIET VOOR FIETSTERS;;;C3;;;;
C7a;;;uitgezonderd lijnbussen;;;C7a;;;Uitgezonderd;
C7;;;zandauto's;;;C7;;;;
C2;;;GEEN TOEGANG VOOR ONBEVOEGDEN;;;C2;;;;
C14;;;Voet-/fietspad Zeeburgerdijk afgesloten tot september 2022 vanwege werkzaamheden;;;C14;;;;
C19;2.7;;NA 100 M;;;C19;;;Lengte na;
C2;;;"uitgezonderd;NA 40 M";;;C2;;;"Uitgezonderd; lengte na; ";
C1;;;PRIVE TERREIN;;;C1;;;privé terrein;
C21;;;fietsbrug;;;C21;;;;
C2;;;"DSM onleesbaar;DSM onleesbaar";;;C2;;;;
C7;;;m.i.v. 16 maart 2020 doorgaand verkeer gestremd uitgezonderd (brom)fietsers;;;C7;;;afsluiting doorgaand verkeer, uitzondering;
C12;;;"uitgezonderd bestemmingsverkeer;ma t/m vr 06 - 09h 16 -20h";;;C12;;;;
C21;14;;;;;C21;;;;
C1;;;laden en lossen aanwonenden toegestaan;;;C1;;;Uitgezonderd;
C21;45;;Nijhuis Bouw transformatie Bioscoop ''oude Postkantoor'';;;C21;;;;
C12;;;bij groen een voertuig;;;C12;;;;
C1;;;M.u.v. vrachtverkeer Rederij Doeksen;;;C1;;;Uitgezonderd;
C2;;;uitgezonderd taxi;;;C2;;;Uitgezonderd;
C1;;;bij sneeuw en glad wegdek;;;C1;;;vrije tekst;
C1;;;"Uitgezonderd rouwauto(s);Voetgangers Crematorium via Begraafplaats";;;C1;;;Uitgezonderd;
C2;;;Na 60 Mtr.;;;C2;;;Lengte na;
C20;5.3;;;;;C20;;;;
C21;8;;;;;C21;;;;
C21;20;;140 m;;;C21;;;;
C21;10;;"na 700 m;uitgezonderd lijnbussen";;;C21;;;;
C1;;;UITGEZONDERD ZUIDOOSTER BUSSEN;;;C1;;;Uitgezonderd;
C3;;;"ma t/m vrij 8.00 tot 9.00 h;uitgezonderd";;;C3;;;;
C7;;;PARKEREN OP EIGEN RISICO let op! verkeersruggen;;;C7;;;vrije tekst;
C6;;;M.U.V. (dienst)voertuigen DistrKMarSpl;;;C6;;;;
C1;;;"uitgezonderd lijnbussen;uitgezonderd lijnbussen;uitgezonderd;LET OP! obstakel";;;C1;;;Uitgezonderd;
C7;;;";langer dan 10 meter";;;C7;;;;
C1;;;"uitgezonderd;uitgezonderd (brom)fiets"; brommobiel; lijnbus en taxi richting Soeterrain;C1;;;Uitgezonderd;
C2;;;"uitgezonderd;na 60 meter";;;C2;;;"Uitgezonderd; lengte na; ";
C18;2.0;;120 m;;;C18;;;;
C20;5.2;;;;;C20;;;;
C18;2.2;;Uitgezonderd bestemmingsverkeer tot 42 ton;;;C18;;;;
C12;;;"na 150 m;uitgezonderd tractoren en brommobielen";;;C12;;;;
C19;3.2;;800 m;;;C19;;;;
C20;3;;bestelwagens via wisselstrook;;;C20;;;;
C1;;;Enkel toegang voor bewoners en bezoekers;;;C1;;;Uitgezonderd;
C1;;;weekmarkt vr. 07.00-14.00 h;;;C1;;;"Dagaanduiding;tijdstipaanduiding;vrije tekst";
C2;;;fietsers toegestaan uitgezonderd maandag t/m zaterdag van 09.00-18.00 uur en op koopavond en koopzondag;;;C2;;;Uitgezonderd;
C12;;;"HOTEL DERLON;motorvoertuigen t.b.v. laden /lossen toegestaan vrachtauto's ma t/m vrij van 07.00 h tot 11.ooh overige motorvoertuigen uitsluitend bestemmingsverkeer";;;C12;;;vrije tekst;
C7;;;uitgezonderd bestemming van ltersongebouw;;;C7;;;;
C7;;;"uitgezonderd bestemmingsverkeer;na 350 m";;;C7;;;;
C5;;;Tot aan de slagboom;;;C5;;;;
C1;;;"fietsen toegestaan snorfietsen niet;ma t/m za 07.00-11.00 h en 17.00-19.30 h koopavonden 17.00-18.00 h;uitgezonderd";;;C1;;;Uitgezonderd;
C1;;;honden aangelijnd;;;C1;;;vrije tekst;
C12;;;1;5 km;;C12;;;;
C7;;;BedrÃƒÂ„Ã‚Â±jfsafval wordt NIET geaccepteerd;;;C7;;;;
C7;;;"uitgezonderd bestemmingsverkeer;na 300 m";;;C7;;;;
C1;;;"op woensdagen van 05.30-18.00 uur;i.v.m. markt";;;C1;;;"Dagaanduiding;tijdstipaanduiding;vrije tekst";
C13;;;van 1 april tot 1oktober behalve bestemmings- verkeer en invaliden;;;C13;;;;
C12;;;do; vr;" za en zo 22-6 h uitgezonderd keyhouders;uitgezonderd";C12;;;;
C19;3.4;;1;2 km;;C19;;;;
C3;;;"ma t/m vr 8.00-16.00 h;uitgezonderd";;;C3;;;;
C3;;;Houd minimaal 1;5 meter afstand! www.zeist.nl/coronavirus;;C3;;;;
C1;;;Uitgezonderd bouwverkeer en bevoorrading Ikazia;;;C1;;;Uitgezonderd;
C2;;;na 20m;;;C2;;;Lengte na;
C12;;;Uitgezonderdf leveranciers;;;C12;;;;
C7;;;Verboden voor bouwverkeer langer dan 10m;;;C7;;;;
C1;;;"uitgezonderd lijnbussen;Op dit terrein gelden de regels conform de wegenverkeers-wetgeving";;;C1;;;Uitgezonderd;
C18;2.2;;NA 100m;;;C18;;;Lengte na;
C20;3.8;;;;;C20;;;;
C3;;;"uitgezonderd;na 200 mtr.";;;C3;;;Lengte na;
C7;;;UITGEZONDERD BESTEMINGS VERKEER WOONWJK;;;C7;;;;
C6;;;bestemmings- verkeer toegestaan;;;C6;;;;
C21;40;;";700 m";;;C21;;;;
C12;;;Na 600 meter;;;C12;;;;
C6;;;ma; di; do;C6; van: 14:45 tot 15:15 u T.B.V: uitgaande School 8.15 TOT8.45 UUR;;;
C1;;;"ma t/m za 22:00-06:00 h zo 0.00-24.00 h;zo 0.00 - 24.00 h;Bij storing bel:0619-766447";;;C1;;;"Dagaanduiding;tijdstipaanduiding;vrije tekst";
C2;;;Na 30 m.;;;C2;;;Lengte na;
C1;;;"Camping/ Manege ''De Maesberg'' bereikbaar;uitgezonderd parkeerterrein na 200 meter;uitgezonderd (brom)-fietsers zonsopgang en zonsondergang en uitgezonderd vergunninghouders;m.u.v. houders van gehandicapten parkeerkaarten;uitgezonderd bezoekers Harderwijkerweg 1 t/m 3 en Werkeromseweg 1 t/m 5";;;C1;;;Uitgezonderd, vrije tekst, Zonsopkomst tot zonsondergang;
C6;;;Na 2;8 km J.van Nassauweg/ Kooiweg Gesloten tussen 06-09 h en 16-19h uitgezonderd aanwonenden en verkeer t.b.v. aanliggende percelen;;C6;;;;
C20;1.8;;60m;;;C20;;;;
C1;;;16:00 t/m 09:00 Uitgezonderd gasten Hotel en 't Wapen;;;C1;;;Uitgezonderd;
C2;;;45 m;;;C2;;;;
C19;3.2;;Bussen hoger dan 2;05 m;;C19;;;;
C1;;;uitgezonderd gemeentelijke voertuigen;;;C1;;;Uitgezonderd;
C7;;;EIGEN WEG VERBODEN VOOR ONBEVOEGDEN;;;C7;;;verboden toegang;
C12;;;uitgezonderd bewoners Berkenlaan 42 t/m 48;;;C12;;;;
C19;2.5;;Na 2;2 km;;C19;;;;
C2;;;M.U.V PERSONEEL BRANDWEER ALMERE;;;C2;;;;
C1;;;bevoorradingsverkeer toegestaan op ma t/m op maandag t/m zaterdag; 06.00-12.30 uur en 18.00-19.00 uur;;C1;;;"Dagaanduiding;tijdstipaanduiding;uitgezonderd";
C1;;;uitgezonderd voor omwonenden;;;C1;;;Uitgezonderd;
C1;;;uitgezonderd Tankauto;;;C1;;;Uitgezonderd;
C21;30;;i.v.m. slechte kade;;;C21;;;;
C7;;;Lander dan 8 meter;;;C7;;;;
C2;;;";uitgezonderd P.de Coubertinweg huisnummers 5 en 7;90 m";;;C2;;;Uitgezonderd;
C19;2.4;;"900 m;Vanaf hier Nekkerweg 25 EN 25 A niet bereikbaar voor vrachtverkeer";;;C19;;;;
C1;;;m.u.v. lijnbussen en taxi's met ontheffing;;;C1;;;Uitgezonderd;
C3;;;Snorfietsen op Valkenburgerstraat op fietspad;;;C3;;;;
C16;;;uitgezonderd medewerkers en TAXI bezoek;;;C16;;;;
C2;;;uitgezonderd ontheffinghouders en taxi's;;;C2;;;Uitgezonderd;
C13;;;honden toegestaan onleesbaar;;;C13;;;;
C2;;;Fietsen plaatsen op eigen risico;;;C2;;;;
C1;;;verboden toegang tussen zonsondergang en zonsopgang;;;C1;;;verboden toegang;Zonsopkomst tot zonsondergang
C12;;;uitgezonderd ma t/m vr 09.00-18.00 h;;;C12;;;;
C3;;;"uitgezonderd;uitgezonderd ontheffingshouders Seepaerdstad";;;C3;;;;
C20;7.5;;Bij gladheid wordt niet gestrooid;;;C20;;;;
C12;;;"uitgezonderd;50 m";;;C12;;;Uitgezonderd;
C1;;;uitgezonderd evenementen bussen;;;C1;;;Uitgezonderd;
C22;;;5;"6 km;";;C22;;;;
C1;;;UITGEZONDERD VRACHTVERKEER;;;C1;;;Uitgezonderd;
C12;;;"taxi;uitgezonderd";;;C12;;;Uitgezonderd;
C21;7.5;;na 1500 m;;;C21;;;;
C7b;;;bij belsignaal brug vrijmaken;;;C7b;;;;
C1;;;Uitgezonderd personeel OBS Het Hof;;;C1;;;Uitgezonderd;
C3;;;"uitgezonderd;Uitsluitend parkeren bestemmingsverkeer";;;C3;;;vrije tekst;
C12;;;"uitgezonderd;uitgezonderd vorgunninghouders";;;C12;;;;
C6;;;";uitgezonderd en bestemmingsverkeer";;;C6;;;;
C1;;;Uitgezonderd operationele-diensten;;;C1;;;Uitgezonderd;
C1;;;"uitgezonderd lijnbussen;uitgezonderd bouwverkeer Amphia";;;C1;;;Uitgezonderd;
C12;;;UITGEZONDERD BEZOEKERS AANLIGGENDE GARAGES;;;C12;;;;
C2;;;"na 100 m;uitgezonderd;uitgezonderd";;;C2;;;"Uitgezonderd; lengte na; ";
C12;;;1;2 km;;C12;;;;
C3;;;UITGEZONDERD(BROM)FIETSERS;;;C3;;;;
C14;;;verhoogde rijbaan afscheiding;;;C14;;;;
C4;L;;Brom+Snorfietsers;;;C4;;;;
C15;;;1;0 km;;C15;;;;
C1;;;FIETSERS AFSTAPPEN; GROF GRIND!!;;C1;;;vrije tekst;
C22;;;"4km;D";;;C22;;;;
C1;;;23:00-06:00 h;;;C1;;;tijdstipaanduiding;
C1;;;M.U.V. LEVERANCIERS;;;C1;;;Uitgezonderd;
C2;;;Zaterdag 8-17h Uitgezonderd (brom-)fietsers;;;C2;;;Uitgezonderd;
C12;;;uitgezonderd traktoren en bestemmings-verkeer;;;C12;;;;
C1;;;LET OP ! parkeren in de vakken alleen toegestaan personeel ambulancedienst;;;C1;;;vrije tekst;
C1;;;vrijdag 21.00 uur tot zaterdag 18.00 uur i.v.m. weekmarkt;;;C1;;;"Dagaanduiding;tijdstipaanduiding;uitgezonderd";
C7;;;"uitgezonderd marktkoopwagens en vuilniswagens;Cameratoezicht";;;C7;;;;
C1;;;UITGEZONDERD HUURDERS VAN GARAGES EN PARKEERPLAATSEN;;;C1;;;Uitgezonderd, vrije tekst;
C12;;;Uitgezonderd bewoners;;;C12;;;Uitgezonderd;
C7;;;LANGER DAN 8 METER;;;C7;;;;
C7;;;"geen doorgang;Wienerberger fabrieks- terrein";;;C7;;;;
C1;;;uitgezonderd lijnbussen en bromfietsers;;;C1;;;Uitgezonderd;
C18;4.8;;;;;C18;;;;
C20;1.1;;;;;C20;;;;
C3;;;"uitgezonderd;lijndiensten en politie";;;C3;;;;
C2;;;GELDT NIET VOOR (BROM)FIETSERS;;;C2;;;;
C7;;;na 450m Langer dan 8.00 m uitgezonderd lijndiensten;;;C7;;;;
C20;5.5;;700 m;;;C20;;;;
C12;;;na 8m;;;C12;;;;
C12;;;uitgezonderd bestemmings-en landbourwerkeer   Veldhoekerweg 2a t/m 10;;;C12;;;;
C7;;;";geen openbare parkeerplaats";;;C7;;;vrije tekst;
C11;;;"uitgezonderd bestemmingsverkeer;i.v.m. stofoverlast langzaam rijden a.u.b.";;;C11;;;;
C12;;;ma. t/m vrij. 7.30 tot 9.30 uur 16.00 tot 18.00 uur;;;C12;;;;
C1;;;"M.U.V. bestemmingsverkeer Engweg 44-68;uitgezonderd: bestemmingsverkeer op de voor hen bestemde wegen en paden";;;C1;;;Uitgezonderd;
C20;4;;100 m;;;C20;;;;
C7;;;landbouwverkeer uitgezonderd;;;C7;;;;
C1;;;uitgezonderd werkverkeer en fietsers;;;C1;;;Uitgezonderd;
C5;;;laden en lossen niet toegestaan;;;C5;;;;
C12;;;"uitgezonderd bestemmingsverkeer;ma t/m vr 07-09 h 16-18 h;";;;C12;;;;
C1;;;"uitgezonderd;uitgezonderd laden lossen ma tussen 06.00 en 13.00 h di. t/m vr. tussen 06.00 en 11.00 h;uitgezonderd vergunninghouders";;;C1;;;Uitgezonderd;
C18;2.2;;900 m;;;C18;;;;
C9;;;uitgezonderd landbouwverkeer ma t/m vr 09 - 16 h 18 - 07 h;;;C9;;;;
C3;;;"na 400 m;uitgezonderd";;;C3;;;Lengte na;
C12;;;VERBODEN VOOR BROMFIETSEN;;;C12;;;;
C7b;;;250 m;;;C7b;;;;
C7;;;parkeren met ondernemers- ontheffing verbo;;;C7;;;vrije tekst;
C7;;;na 220 m;;;C7;;;;
C19;3.5;;580 m;;;C19;;;;
C21;15;;120 m;;;C21;;;;
C6;;;"21.00 - 07.00h;uitgezonderd ontheffinghouders";;;C6;;;;
C7;;;";NA 300 M";;;C7;;;;
C12;;;ma t/m vr 16.00-18.00h uitgezonderd ontheffinghouders;;;C12;;;;
C6;;;uitgezonderd taxi's;;;C6;;;Uitgezonderd;
C12;;;"uitgezonderd bestemmingsverkeer;300 m";;;C12;;;;
C2;;;"30m;geldt ook voor brom/fietsers";;;C2;;;;
C7;;;19:00 - 07:00 h;;;C7;;;;
C3;;;INRIT TANKSTATION;;;C3;;;;
C15;;;(BROM) FIETSERS GA DOOR HET DORP 1 WEG LINKS - TUNNEL;;;C15;;;;
C3;;;UItgezonderd Fietsers;;;C3;;;Uitgezonderd;
C1;;;uitgezonderd laden/lossen en hulpdiensten;;;C1;;;Uitgezonderd;
C3;;;"uitgezonderd;5176";;;C3;;;;
C2;;;uitgozonderd Lijnbussen taxi's;;;C2;;;;
C21;;;30 m;;;C21;;;;
C20;1;;Gebruik kunststofrijplaten verplicht Voor gebruik melden bij:VVE Weerkant;;;C20;;;;
C9;;;Dus niet voor fietsers;;;C9;;;;
C6;;;landbouw- verkeer toegestaan;;;C6;;;;
C1;;;uitgezonderd bestemmigsverkeer nr.10 Montessorischool;;;C1;;;Uitgezonderd;
C12;;;UITGEZONDERD VERZORGEND VERKEER;;;C12;;;;
C3;;;"18 mtr;uitgezonderd";;;C3;;;;
C15;;;camerabewaking;;;C15;;;;
C12;;;75 m;;;C12;;;;
C6;;;"uitgezonderd bestemmingsverkeer;ma t/m vr 07-09 h";;;C6;;;;
C15;;;gevaarlijk wegdek;;;C15;;;;
C20;4.8;;uitgezonderd;;;C20;;;Uitgezonderd;
C1;;;"uitgezonderd;landbouwsluis";;;C1;;;Uitgezonderd;
C3;;;ORIÃƒÂ‹NT PLAZA ORIÃƒÂ‹NT DRIVE GASTEN ORIENT PLAZA GRATIS PARKEREN; OVERIG BETAALD LET OP MAX. HOOGTE 4;2 MTR.;C3;;;vrije tekst;
C3;;;"na 400m;INRIJDEN TOEGESTAAN";;;C3;;;Lengte na;
C21;10;;1;5 km;;C21;;;;
C21;15;;1;5 km;;C21;;;;
C1;;;uitgezonderd bezoekers kerk en begraafplaats Bewoners Brink 30 30A;;;C1;;;Uitgezonderd;
