D5;R;;500m;;;;;;;;;;
D2;R;;2;;;;;;;;;;
D1;;;Rotonde De Derpersch̢ns;;;;;;;;;;
D5;R;;";na 50 meter";;;;;;;;;;
D5;R;;ENTREE BAVO NA 50 METER RECYT;;;;;;;;;;
D1;;;hier NIET parkeren;;;;;;;;;;
D6;R;;m.u.v. leveranciers Hortus&UvA;;;;;;;;;;
D4;;;uitgezonderd onze gasten;;;;;;;;;;
D5;R;;"uitgezonderd;uitgezonderd lijnbussen";;;;;;;;;;
D5;L;;Doorgaand vrachtverkeer;;;;;;;;;;
D4;;;Werkverkeer via rotonde;;;;;;;;;;
D7;;;uitrit;;;;;;;;;;
D4;;;voertuigen langer dan 10 m;;;;;;;;;;
D4;;;uitgezonderd nood- en hulpdiensten;;;;;;;;;;
D4;;;Geldt alleen voor vrachtauto's;;;;;;;;;;
D2;R;;taxi ontheffing Amsterdam niet toegestaan;;;;;;;;;;
D4;;;alleen voor voertuigen langer dan 5 m;;;;;;;;;;
D5;R;;Verboden geluidsoverlast te veroorzaken;;;;;;;;;;
D1;;;Let op ! Verhoogde baanscheiding;;;;;;;;;;
D2;R;;24/7 camerabewaking;;;;;;;;;;
D6;R;;U nadert het knooppunt circa 0;6 km;;;;;;;;;
D6;L;;Uitgezonderd Rouwauto's;;;;;;;;;;
D5;L;;GELDT NIET VOOR FIETSERS;;;;;;;;;;
D4;;;"uitgezonderd;UITGANG";;;;;;;;;;
D5;L;;"uitgezonderd;uitgezonderd bestemmingsverkeer";;;;;;;;;;
E8;;;Ma; di; do;"en vr 08.00-09.00 h en 14.30-15.30 h wo 08.00-09.00 h en 12.00-13.00 h;Bestemd voor het onmiddellijk uit- en instappen passagiers / schoolkinderen ma"; di; do;en vrij 08.00-09.00 h 14.30-15.30 h woensdag 08.00-09.00 h 12.00-13.00 h max. 15 min.;;;;
D5;L;;behalve (brom) fietsen;;;;;;;;;;
D3;;;inrit;;;;;;;;;;
D5;R;;"uitgezonderd lijnbussen;7.00 - 12.00 h;";;;;;;;;;;
D4;;;uitgezonderd werkverkeer;;;;;;;;;;
D5;L;;verplichte rijrichting vrachtauto's;;;;;;;;;;
D1;;;Let op!: verhoogde baanscheiding;;;;;;;;;;
D5;L;;verplichte rijrichting;;;;;;;;;;
D5;L;;"Langer dan 10 m;situatie gewijzigd";;;;;;;;;;
D6;R;;"ma t/m vr 8.20- 8.50 h 14..30-15.00 h;uitgezonderd;woe 8.20-8.50 h 12.15-12.45 h";;;;;;;;;;
D2;L;;uitgezonderd lijnbussen;;;;;;;;;;
D4;;;"ma t/m vr 06.00-19.00h 15.00-19.00h;uitgezonderd";;;;;;;;;;
D4;;;Uitgezonderd aantoonbaar bestemmings- verkeer en;;;;;;;;;;
D5;L;;Bedrijfsvoertuigen Van den Hove;;;;;;;;;;
D5;R;;"langer dan 10m.;uitgezonderd bussen";;;;;;;;;;
D6;R;;Alleen voor voertuigen langer dan 11 m;;;;;;;;;;
