rvvCode; blackCode; zoneCode; textSigns;;;;;;Naam; Snelheid;Zonebord;Soort onderbord;atrtribuutnaam 1;Waarde onderbord 1;atrtribuutnaam 2;Waarde onderbord 2
A1;120;;19 - 6 h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;100;;19 - 6h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;120;;19 - 6h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;120;;19 - 6h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;120;;19- 6 h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A3;;;19 km;;;;;;A3;;;Werkingslengte;werkingslengte;19000;;
A1;120;;19-16h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;100;;19-6 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;100;;19-6 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;100;;19-6 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;100;;19-6 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;100;;19-6 h;;;;;;A1;100;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;120;;19-6 h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;120;;19-6 h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;120;;19-6 h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;120;;19-6 h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;50;;19-6 h;;;;;;A1;50;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;120;;196-6 h;;;;;;A1;120;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;;;19-6h;;;;;;A1;;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;;;19-6h;;;;;;A1;;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;;;19-6h;;;;;;A1;;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
A1;;;19-6h;;;;;;A1;;;Tijdstipaanduiding;starttijd;19:00:00;eindtijd;06:00:00
